title,description,image,url,keywords,category
Turner: The Man Who Painted Britain,Docudrama that reveals the private man behind the public figure of artist JMW Turner.,https://ichef.bbci.co.uk/images/ic/1200x675/p0bkd0wx.jpg,https://www.bbc.co.uk/iplayer/episode/m000xnyh/turner-the-man-who-painted-britain,"BBC, iPlayer, TV, Turner: The Man Who Painted Britain",arts
Blind Ambition,Myopic TV director Jamie O’Leary and blind comedian Jamie MacDonald meet blind artists.,https://ichef.bbci.co.uk/images/ic/1200x675/p09qk3vf.jpg,https://www.bbc.co.uk/iplayer/episode/m000yhdy/blind-ambition,"BBC, iPlayer, TV, Blind Ambition",arts
Billie Eilish: Up Close,Clara Amfo meets the global music phenomenon Billie Eilish for an exclusive interview.,https://ichef.bbci.co.uk/images/ic/1200x675/p09qxmqx.jpg,https://www.bbc.co.uk/iplayer/episode/m000yjy7/billie-eilish-up-close,"BBC, iPlayer, TV, Billie Eilish: Up Close",arts
Isostasy,"A Welsh short film reflecting on the impact of climate change, voiced by Cerys Matthews.",https://ichef.bbci.co.uk/images/ic/1200x675/p09qrfy4.jpg,https://www.bbc.co.uk/iplayer/episode/m000yn2x/isostasy,"BBC, iPlayer, TV, Isostasy",arts
In Search of Sir Walter Scott,Author Damian Barr goes in search of the legacy of novelist and poet Sir Walter Scott.,https://ichef.bbci.co.uk/images/ic/1200x675/p09r92r3.jpg,https://www.bbc.co.uk/iplayer/episode/m000yrpz/in-search-of-sir-walter-scott,"BBC, iPlayer, TV, In Search of Sir Walter Scott",arts
Fake or Fortune? - Series 9: 4. A King’s Last Supper,Could a picture bought online for £50 be a missing 18th-century work by Benjamin West?,https://ichef.bbci.co.uk/images/ic/1200x675/p09rd5kb.jpg,https://www.bbc.co.uk/iplayer/episode/m000ywsf/fake-or-fortune-series-9-4-a-kings-last-supper,"BBC, iPlayer, TV, Fake or Fortune?, Series 9: 4. A King’s Last Supper",arts
Edinburgh Unlocked - 2021: Episode 2,Comedian Mark Nelson and his star team bring you the best of the Edinburgh Fringe 2021.,https://ichef.bbci.co.uk/images/ic/1200x675/p09rvpd5.jpg,https://www.bbc.co.uk/iplayer/episode/m000z4fn/edinburgh-unlocked-2021-episode-2,"BBC, iPlayer, TV, Edinburgh Unlocked, 2021: Episode 2",arts
A’ Chùil - Series 1: Episode 14,Choirstaidh tries different recipes to find the ultimate slime.,https://ichef.bbci.co.uk/images/ic/1200x675/p09t8kr0.jpg,https://www.bbc.co.uk/iplayer/episode/m000zgjq/a-chuil-series-1-episode-14,"BBC, iPlayer, TV, A’ Chùil, Series 1: Episode 14",arts
Talking Pictures - Film’s Family Favourites,Join Celia Imrie for a look through the BBC archives at enduring family favourites.,https://ichef.bbci.co.uk/images/ic/1200x675/p09tzp27.jpg,https://www.bbc.co.uk/iplayer/episode/m000zgt1/talking-pictures-films-family-favourites,"BBC, iPlayer, TV, Talking Pictures, Film’s Family Favourites",arts
Life Drawing Live! - 2021: The Show,"Grab a pencil to join Joe Lycett, celebrity artists and nude models for a live art class.",https://ichef.bbci.co.uk/images/ic/1200x675/p09v8nxp.jpg,https://www.bbc.co.uk/iplayer/episode/m000zqx5/life-drawing-live-2021-the-show,"BBC, iPlayer, TV, Life Drawing Live!, 2021: The Show",arts
Epic Iran,The V&A in London brings together hundreds of artefacts showcasing Iran.,https://ichef.bbci.co.uk/images/ic/1200x675/p09vlzzz.jpg,https://www.bbc.co.uk/iplayer/episode/m000zr4y/epic-iran,"BBC, iPlayer, TV, Epic Iran",arts
Inside America's Treasure House: The Met - Series 1: Episode 3,"As the Met faces a Covid cash crisis, friends and donors rally round.",https://ichef.bbci.co.uk/images/ic/1200x675/p09wql1y.jpg,https://www.bbc.co.uk/iplayer/episode/m00103dc/inside-americas-treasure-house-the-met-series-1-episode-3,"BBC, iPlayer, TV, Inside Americas Treasure House: The Met, Series 1: Episode 3",arts
Listening through the Lens: The Christopher Nupen Films,"A film about Christopher Nupen, a pioneering director of films about classical music.",https://ichef.bbci.co.uk/images/ic/1200x675/p09xh28z.jpg,https://www.bbc.co.uk/iplayer/episode/m00109wm/listening-through-the-lens-the-christopher-nupen-films,"BBC, iPlayer, TV, Listening through the Lens: The Christopher Nupen Films",arts
Royal Academy Summer Exhibition - 2021. 2021,"Behind the scenes at the RA's Summer Exhibition, coordinated this year by Yinka Shonibare.",https://ichef.bbci.co.uk/images/ic/1200x675/p09x322s.jpg,https://www.bbc.co.uk/iplayer/episode/m0010cwc/royal-academy-summer-exhibition-2021-2021,"BBC, iPlayer, TV, Royal Academy Summer Exhibition, 2021. 2021",arts
Alexander Pope: Rediscovering a Genius,Docudrama that recounts the astonishing life story of a forgotten genius.,https://ichef.bbci.co.uk/images/ic/1200x675/p09xpj8f.jpg,https://www.bbc.co.uk/iplayer/episode/m0010jm5/alexander-pope-rediscovering-a-genius,"BBC, iPlayer, TV, Alexander Pope: Rediscovering a Genius",arts
Inside Culture - Series 4: 5. Down Under,Mary Beard investigates the history of cultural exchange between Britain and Australia.,https://ichef.bbci.co.uk/images/ic/1200x675/p09zfr27.jpg,https://www.bbc.co.uk/iplayer/episode/m0010tl1/inside-culture-series-4-5-down-under,"BBC, iPlayer, TV, Inside Culture, Series 4: 5. Down Under",arts
"Salt, by Selina Thompson",Artist Selina Thompson recalls her journey by sea to retrace a route of the slave trade.,https://ichef.bbci.co.uk/images/ic/1200x675/p09z0lbj.jpg,https://www.bbc.co.uk/iplayer/episode/m0010zdp/salt-by-selina-thompson,"BBC, iPlayer, TV, Salt, by Selina Thompson",arts
Nature and Us: A History through Art - Series 1: Episode 3,James Fox explores our relationship with nature across the last hundred years.,https://ichef.bbci.co.uk/images/ic/1200x675/p09z0p2w.jpg,https://www.bbc.co.uk/iplayer/episode/m0010zff/nature-and-us-a-history-through-art-series-1-episode-3,"BBC, iPlayer, TV, Nature and Us: A History through Art, Series 1: Episode 3",arts
Blown,A dance film by Corey Baker to coincide with COP26 and inspired by renewable energy.,https://ichef.bbci.co.uk/images/ic/1200x675/p0b06cpg.jpg,https://www.bbc.co.uk/iplayer/episode/m0011207/blown,"BBC, iPlayer, TV, Blown",arts
Ten Years of the SAY Award,Exploring the impact of the Scottish Album of the Year Award.,https://ichef.bbci.co.uk/images/ic/1200x675/p08wv0jn.jpg,https://www.bbc.co.uk/iplayer/episode/m00118q1/ten-years-of-the-say-award,"BBC, iPlayer, TV, Ten Years of the SAY Award",arts
Changing Landscapes,Meditating on the care and carelessness we've brought to bear on Scotland's environment.,https://ichef.bbci.co.uk/images/ic/1200x675/p0b1vwn4.jpg,https://www.bbc.co.uk/iplayer/episode/m00118tc/changing-landscapes,"BBC, iPlayer, TV, Changing Landscapes",arts
Keith Jarrett: The Art of Improvisation,"A fascinating portrait of Keith Jarrett, whose work straddles classical music and jazz.",https://ichef.bbci.co.uk/images/ic/1200x675/p0b283cs.jpg,https://www.bbc.co.uk/iplayer/episode/m0011f4y/keith-jarrett-the-art-of-improvisation,"BBC, iPlayer, TV, Keith Jarrett: The Art of Improvisation",arts
